"HBT","mean_monthly_items","sd_monthly_items","peak_month","total_items_all"
"S08000031",47479,8189.99666259598,2024-06-01,902101
"S08000032",26455.6842105263,4805.44902576037,2024-06-01,502658
"S08000024",26141.0526315789,5368.38529907255,2024-06-01,496680
"S08000020",18142.8947368421,4381.78998044732,2025-07-01,344715
"S08000015",14997.4210526316,2653.33488935862,2025-07-01,284951
"S08000029",14706.2105263158,2908.86836681184,2025-07-01,279418
"S08000030",14384.3684210526,2624.75129426107,2025-07-01,273303
"S08000019",11654.9473684211,2304.31355104301,2025-07-01,221444
"S08000022",10533.3157894737,1877.05067274972,2025-07-01,200133
"S08000017",5825.73684210526,1055.43097264184,2025-07-01,110689
"S08000016",4630.68421052632,927.407141361308,2024-06-01,87983
"S08000028",910.315789473684,130.954637027729,2024-07-01,17296
"S08000026",827.842105263158,104.495753852008,2025-07-01,15729
"S08000025",567.631578947368,104.046576389997,2025-07-01,10785
"SB0806",3,3.39116499156263,2025-07-01,15
